`,holderstaffflag,policyriskcommencementdate,policytechnicalid_m,holdertechnicalid_m,contactcity_m,contactareatype_m,policy_annualized_premium,contactpostcode_m,policybenefitterm,policynumber_m,agentownlifeflag,channeltype_m,contactstate_m,banktechnicalid_m,channeltechnicalid_m,serviceregionnameops_m,edc,requirementnonmedicalflag,underwritingdecisionstatus_m,policytype_m,productplan,um_bdm_code_m,premiumpaymentfrequency_m,servicebranchops_m,policytypesub_m,policy_sum_assured,hniflag,underwritingexpressflag,vedc,productid_m,requirementmedicalflag,nomineerelation_m,holdermaritalstatus,holdereducation,holdercountry_m,beneficiaryrelation_m,lifeassuredrelation_m,lifeassuredgender_m,natureofduties,holdernationalite,holderqualification,gogreenflag,preferredlanguage_m,holder_annual_income,panverified,holderoccupation,premiumpaymentfrequency
1241,No,27/1/21,b9821e8bc3,d22a488b97,4f6e21,2483,49900,241879,10,b31f92b309,N,e62e,766048,1fd376,39009111ef,,0,1,edce,c4e8,Series 2,5624067,d4cd,81c842,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,SHOP OWNER,,Graduate,N,MALAYALAM,250000,N,Business,Yearly
1242,No,19/1/21,24c99a9c16,5e8b38b919,5b58d5,58,100000,248558,10,5e2a1f413d,N,e62e,766048,38cc2a,7e304fdd5a,047e,0,1,edce,c4e8,Series 2,5880944,d4cd,81c842,c4e8,0,N,0,0,2734,0,fc,Married,Graduate,INDIA,a9,a9,9c,DESK JOB,,Graduate,N,GUJARATI,540000,Y,Service,Yearly
1243,No,21/1/21,5d16617878,fd5523fbb5,c0ee6d,2483,50000,245235,10,b46dd3f576,N,e62e,766048,f0f35f,95c42c908a,047e,0,1,a48c,c4e8,Series 2,5557565,d4cd,41efd3,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,PROPERIETOR,,Graduate,N,GUJARATI,840000,N,Business,Yearly
1244,No,5/1/21,45ec851df6,736b8bc87e,9255c3,2483,15000,832302,10,4fe659a69e,N,e62e,aedf2f,93ee2e,efaf5438d5,c586,0,1,edce,c4e8,Plan T - Series 2,5032433,d4cd,b363b3,c4e8,150000,N,0,0,e548,0,1f,Married,School (upto 10th),INDIA,a9,a9,,AGRICULTURIST,,Below SSC,N,HINDI,360000,N,Agriculturist,Yearly
1245,No,25/1/21,6164323149,fe97597b45,0ff3a2,58,50000,247915,12,1bf0cd9ee5,N,e62e,766048,bc54e3,6baf00cb41,047e,0,1,edce,c4e8,Series 2,5897232,d4cd,81c842,c4e8,500000,N,0,0,efc5,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,BRIJ JEWELLERS,2,SSC,N,ENGLISH,600000,N,Business,Yearly
1246,No,23/1/21,4c2dfe76c6,3754f22bf8,972b01,58,9968.06,125577,36,d6ccbfc13c,N,331f,b629fd,7e495a,310b3743d9,b629,0,1,edce,2ed4,Level Term Assurance - Series 6,5394992,d4cd,90e913,5743,2500000,N,0,0,8fe6,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,IBMS ENGINEER,,Post Graduate,N,TELGU,300000,N,Service,Yearly
1247,No,8/1/21,72f0f5af1d,019503f047,b88519,58,22535.52,204795,12,b7bfd4735f,N,331f,7260ad,7e495a,00b7b08f01,047e,0,1,edce,803,Series 3,5866838,37bf,284c27,803,150000,N,0,0,5876,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,HR MANAGER,,HSC,N,ENGLISH,420000,N,Service,Monthly
1248,No,6/1/21,a476b84115,2582b0ca57,eb31d7,58,50000,782977,12,e8e983487f,N,e62e,b78361,2813fa,6f6d78fd53,f7b0,0,1,edce,c4e8,Series 2,5668781,d4cd,ecb8c7,c4e8,500000,N,0,0,efc5,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,DOCTOR,,Medicine,N,ENGLISH,600000,N,Profession,Yearly
1249,No,15/1/21,86a80f376f,d726e3afd5,740910,2483,49146.88,804559,10,d5462ce6f5,N,e62e,acb844,2c4214,eafee35dd7,c586,0,1,edce,2ed4,Series 2,9583012,d4cd,2df4bf,5743,1620000,N,0,0,81db,0,1f,Married,Graduate,INDIA,,a9,aa,PETROL PUMP WONER,,Graduate,N,HINDI,600000,N,Business,Yearly
1250,No,14/1/21,dcc0aaf2a8,8034249396,a565f9,2483,150000,194792,10,4.88E+62,N,e62e,b629fd,da2c28,8a86bfa356,b629,0,1,edce,c4e8,Plan Gold Cover - Series 3,5343441,d4cd,b0a11d,c4e8,1500000,N,0,0,2a44,0,1f,Married,Graduate,INDIA,a9,a9,aa,SELF-EMPLOYED,,Graduate,N,TELGU,480000,N,Self-Employed,Yearly
1251,No,7/1/21,ee8b23be2a,610e746fe1,05a1d9,58,300000,263415,10,0e63772f7d,N,e62e,766048,25ea1e,106d2063c6,047e,0,1,edce,c4e8,Series 2,9730551,d4cd,804051,c4e8,0,Y,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,GUJARATI,780000,N,Retired,Yearly
1252,No,21/1/21,0c181c47c8,c351c156bc,dbc0e5,58,100000,196552,12,d75fed8fdd,N,e62e,b629fd,88ebd5,28fb4f505e,b629,0,1,edce,c4e8,Series 2,5682795,d4cd,2e4a88,c4e8,1000000,N,0,0,efc5,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,HOUSEWIFE,,HSC,N,TELGU,1800000,N,Housewife,Yearly
1253,No,8/1/21,383547e4f4,93aeff4f8f,740910,2483,63558.6,804119,10,6b4cab043a,N,e62e,acb844,cc29e3,ed7bd8d7a5,c586,1,1,edce,2ed4,Series 2,9596442,d4cd,2df4bf,5743,1200000,N,0,0,81db,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,TEACHER,,Post Graduate,N,HINDI,540000,N,Service,Yearly
1254,No,5/1/21,4efb5c0a88,c31ad57fdc,0b9942,2483,150000,750257,10,7214cdca39,N,e62e,b78361,1865f4,e6c403bdad,f7b0,0,1,edce,c4e8,Plan Gold Cover - Series 3,,d4cd,8a5830,c4e8,1500000,Y,0,0,2a44,0,3d,Married,Graduate,INDIA,a9,a9,aa,TRADING OF IRON,,Graduate,N,HINDI,650000,N,Business,Yearly
1255,No,4/1/21,1abf67fd36,1871c12b11,30695d,58,50000,848779,12,4e1027188e,N,e62e,aedf2f,76c67b,5ef11bbbd8,c586,0,1,edce,c4e8,Series 2,9550816,d4cd,ac716a,c4e8,500000,N,0,0,efc5,0,12,Married,Graduate,INDIA,a9,a9,aa,SELF-EMPLOYED,,Graduate,N,HINDI,420000,N,Self-Employed,Yearly
1256,No,7/1/21,d538049427,e799877fe2,1.12E+32,58,100000,807553,10,7fefd1de15,N,e62e,acb844,ee3e8c,bd7e0ab6f4,c586,0,1,a48c,,Series 2,9957168,d4cd,4a3ec2,c4e8,0,N,0,0,2734,0,3d,Married,PG / Professional,INDIA,a9,a9,9c,PRINCIPAL,,Post Graduate,N,ENGLISH,1200000,N,Service,Yearly
1257,No,7/1/21,74f7e7f2dd,136104639f,972b01,58,24137.53,125574,12,e81689a929,N,e62e,b629fd,642299,a627baa3d8,b629,0,1,edce,803,Series 3,5489871,d4cd,d37e51,803,153000,N,0,0,5876,0,12,Married,Graduate,INDIA,a9,a9,9c,HOSTEAL COOK,,Graduate,N,TELGU,660000,N,Service,Yearly
1258,No,4/1/21,034c86de0c,cb22ce80dc,092d67,2483,15000,837220,10,061528a4f8,N,e62e,aedf2f,5ad7e2,730ca45186,c586,0,1,a48c,c4e8,Plan T - Series 2,5410855,d4cd,0ad84d,c4e8,150000,N,0,0,e548,0,3d,Married,,INDIA,a9,a9,aa,AGRICULTURIST,,10th Pass/SSC,N,HINDI,300000,N,Agriculturist,Yearly
1259,No,5/2/21,ebcaa3b691,cd091afd5c,87cf1b,58,80000,803772,12,f9d247a1ec,N,e62e,acb844,64dc76,4134a424fd,c586,0,1,edce,c4e8,Series 2,5608249,d4cd,2df4bf,c4e8,800000,Y,0,0,efc5,0,7e,Married,PG / Professional,INDIA,a9,3d,aa,RETIRED,,Post Graduate,N,HINDI,780000,N,Retired,Yearly
1260,No,11/1/21,0bf986d0f7,9cea0e5419,ea61dd,2483,5000,861338,10,1da921e5df,N,e62e,aedf2f,c3c28e,e608efc9bc,c586,0,1,a48c,2ed4,Series 2,9742548,d4cd,0ad84d,5743,325000,N,0,0,b68b,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,,,HSC,N,HINDI,240000,N,Agriculturist,Yearly
1261,No,14/1/21,d6d21bfb82,bb62d293a5,c4f06f,58,12300.68,727958,10,c0095a87ba,N,331f,b78361,7e495a,5977ee379a,f7b0,0,1,5fd3,2ed4,Series 2,5376310,d4cd,3103b7,5743,750000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,HINDI,324000,N,Army,Yearly
1262,No,11/1/21,5a37f43f46,600982e404,3.85E+07,2483,64673.12,809001,15,294cd5df47,N,331f,acb844,7e495a,3e3b27f447,c586,0,1,5fd3,2ed4,Series 2,5663970,d4cd,3a8509,5743,920000,N,0,0,81db,1,c7,Married,Graduate,INDIA,a9,a9,9c,TEACHER,,Graduate,N,HINDI,600000,N,Service,Yearly
1263,No,8/1/21,123635c8e2,713dc53ca9,ac3235,58,100000,272572,12,8e7dd0022b,N,e62e,,b86f5f,bab4e9232a,eca2,0,1,edce,c4e8,Series 2,,d4cd,c055e1,c4e8,1000000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,310000,N,Business,Yearly
1264,No,7/1/21,e1d0b46138,b76b7684f3,342f9b,58,33709.76,864664,18,b0483a80ec,N,,aedf2f,7e495a,85b1147015,c586,0,1,edce,2ed4,Series 3,9933511,124d,dec282,66c3,500000,N,0,0,f6f8,0,c7,Married,,INDIA,a9,a9,aa,SELF-EMPLOYED,,10th Pass/SSC,N,ENGLISH,300000,N,Self-Employed,Quarterly
1265,No,8/1/21,c85feaf712,1ec641185e,86c8be,58,50000,175595,10,0b25d94e1c,N,e62e,b629fd,0f7ba3,79ac018ed7,b629,0,1,edce,c4e8,Series 2,5321606,d4cd,2864ab,c4e8,0,N,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,ADMIN MANAGER,,Graduate,N,TELGU,600000,N,Service,Yearly
1266,No,4/1/21,0810240c2f,ab32a8211e,1.12E+32,58,50000,802999,12,564aba97c9,N,e62e,acb844,f5efd3,66db791d53,c586,1,0,a48c,c4e8,Series 2,9785568,d4cd,4a3ec2,c4e8,500000,N,0,1,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,SELF-EMPLOYED,,Graduate,N,HINDI,420000,N,Self-Employed,Yearly
1267,No,13/1/21,935f15081e,7cca7712f8,c4f06f,58,49900,779551,12,221dfe8582,N,e62e,b78361,52328a,ecd8af59a7,f7b0,0,1,edce,c4e8,Series 2,5183150,d4cd,072dba,c4e8,499000,N,0,0,efc5,0,46,Single,PG / Professional,INDIA,a9,a9,9c,TEACHER,,Post Graduate,N,ENGLISH,480000,N,Service,Yearly
1268,No,18/1/21,96ec151c73,8cb36b68f3,b2a2e2,58,,847577,10,5d07f63d79,N,e62e,aedf2f,4ea617,5607ff2441,c586,0,1,a48c,c4e8,Series 2,5261779,d4cd,5d949d,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,RAILWAY CONTRACTOR,,Graduate,N,ENGLISH,1248000,N,Business,Yearly
1269,No,18/1/21,e988f23ea3,a7bbcfc821,342f9b,58,56595.38,864449,20,06cac2efd5,N,331f,aedf2f,7e495a,d7759fd986,c586,0,1,edce,2ed4,Series 3,5695409,d4cd,a1cb1e,66c3,1000000,N,0,0,f6f8,0,3d,Married,Graduate,INDIA,a9,a9,aa,TEACHER,2,Graduate,N,HINDI,600000,Y,Service,Yearly
1270,No,19/1/21,1cf02aae24,4f075d5de2,68467e,2483,172834.2,204981,7,e516a815e8,N,331f,766048,7e495a,1e516e9093,047e,0,1,5fd3,2ed4,Series 4,5876541,d4cd,54ccbf,803,850000,N,0,0,4b1a,1,fc,Married,School (upto 10th),INDIA,a9,a9,aa,RETIRED,2,SSC,N,GUJARATI,600000,N,Retired,Yearly
1271,No,8/1/21,883778d1ee,6e24e8a2a1,95c77f,2483,10184.42,770858,15,060ae154d2,N,331f,b78361,7e495a,0db00feff1,f7b0,0,1,edce,,Series 3,5679017,bf55,6d2953,803,100000,N,0,0,5876,0,3d,widowed,School (upto 10th),INDIA,a9,a9,9c,HOUSEWIFE,,Below SSC,N,HINDI,264000,N,Family Pension,Half yearly
1272,No,25/1/21,e2b35cfb5f,1c28c56696,7f7eaa,2483,24315.56,784376,35,287cc4b568,N,e62e,b78361,785314,3c77c49b9e,f7b0,0,1,edce,2ed4,Level Term Assurance - Series 6,,d4cd,ecb8c7,5743,8000000,N,0,0,8fe6,1,3d,Married,Graduate,INDIA,a9,a9,aa,SUPERVISOR,,Graduate,N,HINDI,480000,N,Service,Yearly
1273,No,11/1/21,dbbe1559c7,f699dfbcc2,2f8b93,58,102250,855454,15,8a154d282b,N,e62e,c0a4a4,db483f,d4bf0fbe12,0ff1,0,1,edce,2ed4,Series 3,9522309,d4cd,c70f9c,803,770000,N,0,0,56ca,0,fc,Married,Graduate,INDIA,a9,a9,9c,CHIEFF MANAGER,,Graduate,N,ENGLISH,1440000,N,Service,Yearly
1274,No,11/1/21,85493d1d8e,65032215f9,972b01,58,45819.88,125573,37,1c32abf797,N,331f,b629fd,7e495a,65339f6303,b629,0,1,edce,2ed4,Level Term Assurance - Series 6,94202625,bf55,f7a51d,5743,10000000,N,0,0,8fe6,1,1f,Married,Graduate,INDIA,a9,a9,aa,CHIEF LOCO INSPECTOR,,Graduate,N,TELGU,1200000,N,Service,Half yearly
1275,No,19/1/21,203539dd3a,55e3ac4d3b,68467e,58,175000,204961,10,f72fa4ddd7,N,e62e,766048,180d6e,c23e9ef791,047e,0,1,a48c,c4e8,Series 2,5815407,d4cd,54ccbf,c4e8,0,N,0,0,2734,0,3d,widowed,School (upto 10th),INDIA,a9,a9,9c,HOUSEWIFE,,Below SSC,N,GUJARATI,840000,N,Housewife,Yearly
1276,No,20/1/21,e08ef6d267,d0004fa7cb,6b5437,58,50000,795975,9,5199c6bcaf,N,e62e,b78361,231b11,6f04a06807,f7b0,0,1,edce,c4e8,Series 3,5640596,d4cd,800dc7,c4e8,500000,N,0,0,d2a9,1,c7,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,700000,N,Business,Yearly
1277,No,20/1/21,1a76320f94,bf06307bde,c8c19b,58,5000,201593,15,ee4f1dfb6d,N,,766048,10d3f5,31a1e1d151,047e,0,1,a48c,2ed4,Series 2,5,d4cd,a4a2d6,5743,275000,N,0,0,b68b,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,aa,,,HSC,N,ENGLISH,360000,N,Service,Yearly
1278,No,13/1/21,650256dc30,241be579b5,13a0d9,58,51671.42,725559,19,9b952657ab,N,e62e,b78361,a4f6ee,86fa53eaa8,f7b0,0,1,edce,2ed4,Series 3,5003891,d4cd,aebe24,,840000,N,0,0,f6f8,1,3d,Married,,INDIA,a9,a9,aa,DOCTOR,,Post Graduate/Professional,N,HINDI,1800000,N,Service,Yearly
1279,No,11/1/21,9ca5fa9a4b,41e3d381aa,c4f06f,2483,50625.32,779252,15,235c43bd4d,,331f,b78361,7e495a,2a7b8314e7,f7b0,0,1,a48c,803,Series 3,93265778,124d,8bef14,803,525000,N,0,0,5876,0,1f,Married,Graduate,INDIA,a9,a9,aa,CLOTH SHOP,,Graduate,N,HINDI,480000,N,Business,Quarterly
1280,No,14/1/21,77a74da134,65b29676b8,161c37,58,51125,789258,15,28def91069,N,e62e,b78361,b617e1,9e84402221,f7b0,0,1,edce,2ed4,Series 3,5401952,d4cd,8a5830,803,420000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,OFFICE ASSISTANT,,Graduate,N,MARATHI,420000,N,Service,Yearly
1281,No,23/1/21,5eda71ac04,9e6de8facb,380b6f,58,35521.46,191759,10,167917458,N,e62e,b629fd,3f336f,86134b8269,b629,0,1,edce,2ed4,Series 2,9593522,d4cd,21afb2,5743,850000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,TECHNICAL ASSISTANT,,Graduate,N,TELGU,600000,N,Service,Yearly
1282,No,2/1/21,c0c3485af1,360f54a577,36cbed,58,51983.9,749559,15,e34a44af83,,e62e,b78361,8a3a3f,ec487846b3,f7b0,0,1,5fd3,2ed4,Series 3,9998785,d4cd,88af36,803,120000,N,0,0,56ca,0,1f,Married,,INDIA,a9,a9,aa,CONSTABLE,,12th Pass/HSC,N,HINDI,720000,N,BSF,Yearly
1283,No,6/1/21,6c9370585f,fad0a0b5d2,092d67,2483,5000,837559,10,382600494d,N,e62e,aedf2f,d1bf30,3a9736e6b3,c586,0,1,edce,2ed4,Series 2,5032462,d4cd,b363b3,5743,400000,N,0,0,b68b,,1f,Married,School (upto 10th),INDIA,a9,a9,aa,,,SSC,N,HINDI,240000,N,Business,Yearly
1284,No,1/2/21,d7b6f6f1e1,58febb1c0e,2f8b93,58,100000,879259,10,ee6cdd3973,N,e62e,c0a4a4,f32d81,fed2c8ecbd,0ff1,0,1,,c4e8,Series 2,5041806,d4cd,c70f9c,c4e8,0,Y,0,0,2734,0,3d,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,ENGLISH,900000,N,Family Pension,Yearly
1285,No,2/1/21,622cd7ca05,c8919664a8,481c1b,2483,26181.48,439292,15,6c4c0f36b4,N,331f,99ff4a,7e495a,2281525b4c,eca2,0,0,edce,2ed4,Endowment Plan - Series 4,5039952,37bf,9c3288,803,56388.89,N,0,0,1bb6,0,12,Single,Intermediate (10+2),INDIA,a9,a9,aa,SEPOY,,HSC,N,ENGLISH,350000,N,Army,Monthly
1286,No,13/1/21,9af03dd890,e6625315d1,b94056,2483,100000,729771,5,961a4abedc,N,e62e,b78361,d8fce3,ab309385de,f7b0,0,1,edce,c4e8,Series 2,9990734,738a,189fac,c4e8,125000,Y,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,420000,N,Housewife,Single
1287,No,25/1/21,d6ee03dd5f,4a75a670cb,bb94da,2483,28563.54,797421,20,2c62fa5d98,Y,331f,b78361,7e495a,ed86174c61,f7b0,0,1,edce,2ed4,Series 3,94218753,d4cd,ad66dd,66c3,500000,N,,0,f6f8,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,HINDI,180000,N,Agriculturist,Yearly
1288,No,29/1/21,0a6b06c504,681c78af3c,dbc0e5,58,50000,196159,12,3025452d5c,N,e62e,b629fd,97bb4f,aeeed1d15d,b629,0,1,5fd3,c4e8,Series 2,5375132,d4cd,21afb2,c4e8,500000,Y,0,0,efc5,1,fc,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,TELGU,864000,N,Service,Yearly
1289,No,6/1/21,be2e5803ea,f341b33093,4b1c49,58,51125,778920,12,ec7fe8331d,N,e62e,b78361,b8d59d,7f86f05773,f7b0,0,1,edce,2ed4,Series 3,5811451,d4cd,c9c5ae,803,315000,N,0,0,56ca,0,fc,Married,Graduate,INDIA,a9,a9,aa,ASSISTANT TEACHER,,Graduate,N,ENGLISH,600000,N,Service,Yearly
1290,No,11/1/21,2d74ac974b,e68c28ad11,2ea4bf,2483,18328.8,127777,15,245bcf5fbf,N,331f,b629fd,7e495a,7ead47fd48,b629,0,,edce,2ed4,Series 3,9763214,bf55,c2d3a4,66c3,200000,N,0,0,7d8e,1,fc,Married,School (upto 10th),INDIA,a9,a9,9c,TAILOR,,SSC,N,TELGU,400000,N,Self-Employed,Half yearly
1291,No,13/1/21,f5ff6c0eec,b1eb56a27e,f363fd,58,50000,193856,12,fcc003040c,N,e62e,b629fd,31ba5b,d61c28158b,b629,0,1,edce,c4e8,Series 2,5687072,d4cd,a4bbee,c4e8,500000,N,0,0,efc5,0,3d,widowed,School (upto 10th),INDIA,a9,a9,9c,FAMILY PENSION,,Below SSC,N,TELGU,900000,N,Family Pension,Yearly
1292,No,8/1/21,eeb8d00ae2,e8bbb75156,342f9b,2483,15000,864664,10,a7a43bf415,N,e62e,aedf2f,de4504,b208590314,c586,0,1,edce,c4e8,Plan T - Series 2,9954768,d4cd,0ad84d,c4e8,150000,N,0,0,e548,0,1f,Married,Graduate,INDIA,a9,a9,aa,SHOP,,Graduate,N,HINDI,300001,Y,Business,Yearly
1293,No,15/1/21,b51796b4f0,15f32b724f,75fc4a,58,6768.48,855569,30,bf9efcd8f0,N,331f,c0a4a4,7e495a,2dc3d84c0b,0ff1,0,1,edce,2ed4,Level Term Assurance - Series 3,5206101,d4cd,14c394,5743,2400000,N,0,0,0ff4,1,12,Single,PG / Professional,INDIA,a9,a9,aa,OWNER,,Medicine,N,MARATHI,3000000,N,Business,Yearly
1294,No,15/1/21,bf14912e3b,d78af2788e,c0ee6d,58,100000,245557,12,9368151170,N,e62e,766048,a6f62b,1817645dcd,047e,0,1,edce,c4e8,Series 2,5063009,d4cd,41efd3,c4e8,1000000,N,0,0,efc5,0,42,Single,Graduate,INDIA,a9,a9,9c,CHIF EXECUTIVE OFFICER,,Graduate,N,GUJARATI,400000,N,Service,Yearly
1295,No,8/1/21,76bc367691,53d2bff9d4,dbc0e5,58,72556.6,196259,15,d92b118fe8,N,331f,b629fd,7e495a,c1d8068040,b629,0,,edce,2ed4,Series 3,5982718,d4cd,ea0a21,66c3,500000,N,0,0,7d8e,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,HOUSEWIFE,,HSC,N,TELGU,600000,N,Housewife,Yearly
1296,No,8/1/21,f877da2426,5bc37569da,86c8be,58,50000,179259,12,a2b4356b31,N,e62e,b629fd,cd4578,e4e3d658f6,b629,0,1,edce,c4e8,Series 2,5313414,d4cd,2864ab,c4e8,500000,Y,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,ENGLISH,2800000,N,Housewife,Yearly
1297,No,17/2/21,44b392fae4,0e32845217,75fc4a,58,1000000,855554,30,4a11e3bef1,N,286,c0a4a4,f9aa5f,2067449703,0ff1,0,1,edce,c4e8,Series 2,5,d4cd,ba7f08,c4e8,10000000,Y,,0,8625,0,fc,Married,Graduate,INDIA,a9,a9,9c,DIAMOND TRADING,,Graduate,N,ENGLISH,272623,N,Housewife,Yearly
1298,No,18/1/21,aa82e933e0,ace88df3be,4cea30,2483,500000,,10,3173b9f7d7,N,331f,766048,7e495a,f9e478285d,047e,0,1,edce,c4e8,Series 2,5869023,d4cd,dda782,c4e8,0,Y,0,0,2734,0,c7,Married,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,GUJARATI,1300000,N,Agriculturist,Yearly
1299,No,11/1/21,9c26bb3f5e,a026064619,0ba48f,58,125932.32,133198,15,b1af6d3b99,N,331f,a89ee5,7e495a,0ee1c79fde,b629,0,1,edce,2ed4,Whole Life Plan - Series 4,9556462,124d,a1a9b7,ef0c,1500000,N,0,0,1bb6,0,46,Single,PG / Professional,INDIA,a9,a9,aa,SOFTWARE ENGINEER,,Post Graduate,N,ENGLISH,1248000,N,Service,Quarterly
1300,No,11/1/21,ac03134203,76a91145fc,46f9af,2483,40000,841409,12,c28e977e3f,N,e62e,aedf2f,cfc1f9,0c7da5c504,c586,0,1,edce,c4e8,Series 2,5689781,d4cd,b363b3,c4e8,400000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,PATWARI,,Graduate,N,HINDI,456000,N,Service,Yearly
1301,No,18/1/21,a56d1555ed,63bd4d197f,184985,58,100000,267882,10,73dc7764a8,N,331f,766048,7e495a,7a7c5652df,047e,0,1,edce,c4e8,Series 2,5967862,738a,cf21a5,c4e8,0,N,0,0,2734,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,GOLD SMITH,,SSC,N,BENGALI,500000,Y,Business,Single
1302,No,13/1/21,d942daf86f,31b4b42f37,c0ee6d,58,13691.28,242489,10,806ee754b0,N,e62e,766048,72b5f2,89c31ad564,047e,0,1,edce,2ed4,Series 2,9725823,d4cd,8edf31,5743,1000000,N,0,0,81db,1,1b,Married,Graduate,INDIA,a9,a9,9c,PATNER,,Graduate,N,ENGLISH,300000,N,Business,Yearly
1303,No,19/1/21,c4a95d58b6,225662ca07,debb51,58,100000,801117,10,58970c9190,N,e62e,acb844,5a61a6,84455373ff,c586,0,1,edce,c4e8,Series 2,5691482,d4cd,84a991,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,OPERATOR,,Graduate,N,HINDI,600000,N,Service,Yearly
1304,No,28/1/21,859cac11ab,923db5a4e1,3fc0a0,58,20888.36,287659,30,34c9cf0ba8,N,331f,f114ce,7e495a,898377c385,eca2,0,1,edce,2ed4,Level Term Assurance - Series 6,5610665,d4cd,9709ef,5743,5000000,N,0,0,8fe6,1,1f,Married,,INDIA,a9,a9,aa,SENIOR ASSISTANT CLERK,,Post Graduate/Professional,N,HINDI,660000,N,Service,Yearly
1305,No,18/1/21,9b5a5ac8b5,2570a8f41d,7f7eaa,58,1000000,784359,10,b41d91ea46,N,e62e,b78361,4df3ea,79b3829db4,f7b0,0,1,edce,c4e8,Series 2,5615725,d4cd,ecb8c7,c4e8,10000000,Y,0,0,8625,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,DOCTOR,,Post Graduate,N,HINDI,6000000,N,Profession,Yearly
1306,No,6/1/21,52bedd66bb,ffd09c95ea,b94056,58,51125,729799,12,210b4c616c,N,e62e,b78361,3cf9d4,ab39aaaaab,f7b0,0,1,a48c,2ed4,Series 3,5404725,d4cd,79a06f,803,300000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,1200000,N,Business,Yearly
1307,No,4/1/21,5028038a24,969d61b415,f363fd,58,40000,193105,10,5d4711988d,N,e62e,b629fd,f5aefb,3e90219882,b629,0,1,a48c,c4e8,Series 2,5683342,d4cd,a4bbee,c4e8,0,N,0,0,2734,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,TEACHING,,Post Graduate,N,TELGU,840000,N,Service,Yearly
1308,No,5/1/21,c932ca54fd,7ecae06325,30695d,58,100000,848779,12,b6a8eab006,N,e62e,aedf2f,ad074c,d58f34f952,c586,0,1,edce,c4e8,Series 2,9550816,d4cd,ac716a,c4e8,1000000,N,0,0,efc5,0,46,Single,Graduate,INDIA,a9,a9,aa,MANAGER,,Graduate,N,HINDI,480000,N,Service,Yearly
1309,No,20/1/21,a440485c45,d5e17497b6,75fc4a,58,,855959,15,a3ffd1ffb2,N,e62e,c0a4a4,3c4259,d6b4fc12bc,eca2,0,1,edce,2ed4,Series 3,5384307,d4cd,9709ef,803,840000,N,0,0,56ca,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,HOUSEWIFE,,HSC,N,HINDI,600000,N,Housewife,Yearly
1310,No,14/1/21,d145dc7ac8,d26d1a05b9,debb51,58,31263.96,801460,10,23afc17338,N,e62e,acb844,c02953,ff937de8f8,c586,0,1,edce,2ed4,Series 2,9765439,d4cd,2df4bf,5743,320000,N,0,0,81db,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,TEACHER,,Post Graduate,N,HINDI,480000,N,Service,Yearly
